Input file,Species Code,Call,Start time,End time
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.04,43499.04
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bp,40Hz,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,Antarctic,43499.05,43499.05
H:\Southern Ocean\Antarctica\Antarc_EA_01_decimated\Antarc_EA_01_disk01_df100\Antarc_EA_01_190202_061730_df100.x.wav,Bm,D,43499.05,43499.05
