Selection	View	Channel	Begin Date Time	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Call Type
81	Spectrogram 1	1	2019/2/3  8:24:13.4285	8353.428507143	8365.055787888	19.277	31.325	Antarctic
82	Spectrogram 1	1	2019/2/3  8:24:45.5526	8385.552596894	8389.726492547	19.277	31.928	Antarctic
83	Spectrogram 1	1	2019/2/3  8:24:49.3538	8389.353823292	8391.440771118	40.361	81.325	D
84	Spectrogram 1	1	2019/2/3  8:24:57.7016	8397.701614596	8400.310299379	50.602	99.398	D
85	Spectrogram 1	1	2019/2/3  8:25:44.2853	8444.285271429	8447.713828571	39.157	89.759	D
86	Spectrogram 1	1	2019/2/3  8:25:46.8940	8446.893956211	8449.800776398	35.542	87.952	D
87	Spectrogram 1	1	2019/2/3  8:27:24.6828	8544.682818634	8548.633112733	31.928	81.928	D
88	Spectrogram 1	1	2019/2/3  8:27:27.4406	8547.440571118	8550.794594410	33.133	78.916	D
89	Spectrogram 1	1	2019/2/3  8:27:22.7328	8542.732824534	8544.447103106	18.072	32.530	20Hz
90	Spectrogram 1	1	2019/2/3  8:28:00.9998	8579.999750000	8583.875510248	37.952	93.976	D
91	Spectrogram 1	1	2019/2/3  8:28:02.7575	8582.757502484	8585.887924224	39.759	86.145	D
92	Spectrogram 1	1	2019/2/3  8:28:42.0368	8622.036841925	8630.682768634	19.880	28.313	Antarctic
93	Spectrogram 1	1	2019/2/3  8:30:51.4285	8751.428507143	8760.447103106	19.277	28.916	Antarctic
94	Spectrogram 1	1	2019/2/3  8:31:56.1239	8816.123889752	8824.918884161	21.084	30.120	Antarctic
95	Spectrogram 1	1	2019/2/3  8:32:56.0931	8876.093079814	8886.378751242	21.084	29.518	Antarctic
96	Spectrogram 1	1	2019/2/3  8:33:20.6147	8900.614716770	8909.782380435	9.639	28.916	Antarctic
97	Spectrogram 1	1	2019/2/3  8:33:47.9686	8927.968640062	8938.552446894	19.880	28.916	Antarctic
98	Spectrogram 1	1	2019/2/3  8:34:20.9871	8960.987136025	8973.061619876	19.277	29.518	Antarctic
99	Spectrogram 1	1	2019/2/3  8:34:41.1117	8981.111725776	8988.416043168	18.072	28.916	Antarctic
100	Spectrogram 1	1	2019/2/3  8:35:49.2357	9049.235665528	9056.316381366	20.482	30.723	Antarctic
101	Spectrogram 1	1	2019/2/3  8:37:07.7948	9127.794794410	9137.558728882	18.675	28.313	Antarctic
102	Spectrogram 1	1	2019/2/3  8:37:18.6767	9138.676736646	9144.639444720	19.880	28.916	Antarctic
103	Spectrogram 1	1	2019/2/3  8:37:42.3785	9162.378501242	9164.689050621	24.096	48.193	D
104	Spectrogram 1	1	2019/2/3  8:37:45.2853	9165.285321429	9167.968540062	50.000	80.120	D
105	Spectrogram 1	1	2019/2/3  8:37:52.4406	9172.440571118	9174.825654348	36.145	86.747	D
106	Spectrogram 1	1	2019/2/3  8:37:56.6145	9176.614466770	9179.819422360	31.928	63.253	D
107	Spectrogram 1	1	2019/2/3  8:38:01.9809	9181.980904037	9190.105093789	20.482	28.313	Antarctic
108	Spectrogram 1	1	2019/2/3  8:38:29.6334	9209.633412733	9211.794894410	53.614	77.711	D
109	Spectrogram 1	1	2019/2/3  8:38:57.8817	9237.881742236	9244.366187267	18.675	29.518	Antarctic
110	Spectrogram 1	1	2019/2/3  8:39:39.0990	9279.098961801	9287.223151553	20.482	28.916	Antarctic
111	Spectrogram 1	1	2019/2/3  8:39:15.1736	9255.173595652	9258.676686646	28.313	68.072	D
112	Spectrogram 1	1	2019/2/3  8:38:58.2544	9238.254411491	9242.130171739	31.928	78.313	D
113	Spectrogram 1	1	2019/2/3  8:40:20.0185	9320.018495963	9328.589888820	19.277	28.916	Antarctic
114	Spectrogram 1	1	2019/2/3  8:40:22.4036	9322.403579193	9324.863196273	27.108	50.000	D
115	Spectrogram 1	1	2019/2/3  8:40:30.9004	9330.900438199	9333.583656832	18.072	54.819	D
116	Spectrogram 1	1	2019/2/3  8:40:36.4159	9336.415943168	9339.173695652	30.723	68.072	D
117	Spectrogram 1	1	2019/2/3  8:40:48.6395	9348.639494720	9357.658090683	18.072	29.518	Antarctic
119	Spectrogram 1	1	2019/2/3  8:40:58.0308	9358.030759938	9365.931348137	21.084	28.313	Antarctic
120	Spectrogram 1	1	2019/2/3  8:41:28.8132	9388.813240373	9396.564760870	16.867	31.325	Antarctic
121	Spectrogram 1	1	2019/2/3  8:41:14.9499	9374.949944099	9378.825704348	25.301	55.422	D
122	Spectrogram 1	1	2019/2/3  8:40:59.6705	9359.670504658	9361.831986335	51.205	84.337	D
123	Spectrogram 1	1	2019/2/3  8:41:53.7825	9413.782530435	9420.788712422	17.470	29.518	Antarctic
124	Spectrogram 1	1	2019/2/3  8:42:22.0309	9442.030859938	9445.161281677	31.325	72.289	D
125	Spectrogram 1	1	2019/2/3  8:42:27.6209	9447.620898758	9450.602252795	30.723	55.422	D
126	Spectrogram 1	1	2019/2/3  8:42:33.6581	9453.658140683	9457.012163975	33.133	77.108	D
127	Spectrogram 1	1	2019/2/3  8:42:36.4159	9456.415893168	9458.950044099	42.169	72.892	D
128	Spectrogram 1	1	2019/2/3  8:42:55.8692	9475.869228261	9479.372319255	45.181	84.337	D
129	Spectrogram 1	1	2019/2/3  8:42:58.9251	9478.925116149	9481.310199379	47.590	80.120	D
130	Spectrogram 1	1	2019/2/3  8:43:05.8568	9485.856764286	9489.136253727	45.783	87.349	D
131	Spectrogram 1	1	2019/2/3  8:43:57.2110	9537.211037578	9549.360055280	20.482	30.120	Antarctic
132	Spectrogram 1	1	2019/2/3  8:45:50.2793	9650.279339441	9655.571242857	19.277	28.313	Antarctic
133	Spectrogram 1	1	2019/2/3  8:45:59.7451	9659.745138509	9664.217169565	33.735	78.916	D
134	Spectrogram 1	1	2019/2/3  8:46:10.0308	9670.030809938	9673.459367081	12.048	36.145	D
135	Spectrogram 1	1	2019/2/3  8:46:23.5214	9683.521436957	9688.217069565	26.506	82.530	D
136	Spectrogram 1	1	2019/2/3  8:46:34.0307	9694.030709938	9696.937530124	45.181	93.373	D
137	Spectrogram 1	1	2019/2/3  8:47:35.7452	9755.745188509	9766.105393789	19.880	30.120	Antarctic
138	Spectrogram 1	1	2019/2/3  8:48:45.2853	9825.285271429	9833.707596584	19.277	31.928	Antarctic
139	Spectrogram 1	1	2019/2/3  8:48:28.1425	9808.142485714	9812.614516770	30.723	56.627	D
140	Spectrogram 1	1	2019/2/3  8:49:32.7638	9872.763784472	9882.453185093	19.277	28.916	Antarctic
141	Spectrogram 1	1	2019/2/3  8:49:58.6270	9898.627030745	9921.136253727	18.072	29.518	Antarctic
142	Spectrogram 1	1	2019/2/3  8:51:01.9067	9961.906720186	9964.739006522	47.590	78.313	D
143	Spectrogram 1	1	2019/2/3  8:51:04.3663	9964.366337267	9967.273157453	48.193	81.928	D
144	Spectrogram 1	1	2019/2/3  8:51:02.5775	9962.577524845	9975.695482609	18.072	30.723	Antarctic
145	Spectrogram 1	1	2019/2/3  8:52:16.8132	10036.813240373	10047.844250311	14.458	30.723	Antarctic
146	Spectrogram 1	1	2019/2/3  8:52:28.4405	10048.440521118	10054.477763043	17.470	28.916	Antarctic
147	Spectrogram 1	1	2019/2/3  8:54:50.5775	10190.577474845	10200.192341615	16.265	29.518	Antarctic
148	Spectrogram 1	1	2019/2/3  8:53:12.2669	10092.266875466	10095.024627950	45.181	83.735	D
149	Spectrogram 1	1	2019/2/3  8:53:16.4408	10096.440771118	10098.825854348	53.614	89.157	D
150	Spectrogram 1	1	2019/2/3  8:53:22.1053	10102.105343789	10113.732624534	21.687	29.518	Antarctic
151	Spectrogram 1	1	2019/2/3  8:55:37.8319	10237.831936335	10241.036891925	36.747	92.771	D
152	Spectrogram 1	1	2019/2/3  8:55:45.5835	10245.583456832	10258.626880745	20.482	28.916	Antarctic
153	Spectrogram 1	1	2019/2/3  8:56:49.4594	10309.459417081	10313.484245031	39.759	79.518	D
154	Spectrogram 1	1	2019/2/3  8:56:14.2794	10274.279439441	10290.155149689	19.277	30.120	Antarctic
155	Spectrogram 1	1	2019/2/3  8:57:15.9189	10335.918934161	10340.689100621	33.735	53.614	D
156	Spectrogram 1	1	2019/2/3  8:56:59.0743	10319.074283851	10328.391015217	18.675	28.916	Antarctic
157	Spectrogram 1	1	2019/2/3  8:57:20.0928	10340.092829814	10343.372319255	53.614	80.723	D
158	Spectrogram 1	1	2019/2/3  8:57:27.3226	10347.322613354	10350.453035093	32.530	68.675	D
159	Spectrogram 1	1	2019/2/3  8:57:31.9437	10351.943712112	10353.807058385	27.711	66.265	D
160	Spectrogram 1	1	2019/2/3  8:57:34.9996	10354.999600000	10357.086547826	22.892	71.687	D
161	Spectrogram 1	1	2019/2/3  8:57:37.9064	10357.906420186	10361.260443478	47.590	81.928	D
162	Spectrogram 1	1	2019/2/3  8:56:58.3289	10318.328945342	10320.863096273	36.747	75.904	D
163	Spectrogram 1	1	2019/2/3  8:58:41.3352	10421.335177329	10429.086697826	20.482	29.518	Antarctic
164	Spectrogram 1	1	2019/2/3  8:59:25.2356	10465.235615528	10472.167263665	20.482	29.518	Antarctic
165	Spectrogram 1	1	2019/2/3  8:58:17.2607	10397.260743478	10400.614766770	55.422	84.337	D
166	Spectrogram 1	1	2019/2/3  8:58:53.1115	10433.111525776	10434.900338199	38.554	71.084	D
167	Spectrogram 1	1	2019/2/3  8:58:08.1676	10388.167613665	10391.074433851	38.554	84.337	D
168	Spectrogram 1	1	2019/2/3  8:58:11.2980	10391.298035404	10393.683118634	44.578	81.325	D
169	Spectrogram 1	1	2019/2/3  9:00:03.6210	10503.620998758	10515.322813354	18.779	28.638	Antarctic
170	Spectrogram 1	1	2019/2/3  9:00:24.2669	10524.266875466	10525.906620186	53.226	77.957	D
171	Spectrogram 1	1	2019/2/3  9:00:34.7761	10534.776148447	10537.459367081	28.495	51.613	D
172	Spectrogram 1	1	2019/2/3  9:00:48.7885	10548.788512422	10551.844400311	18.817	29.032	D
173	Spectrogram 1	1	2019/2/3  9:00:56.5400	10556.540032919	10559.819522360	13.978	28.495	D
174	Spectrogram 1	1	2019/2/3  9:00:53.1115	10553.111475776	10555.272957453	11.828	29.570	D
175	Spectrogram 1	1	2019/2/3  9:00:54.7512	10554.751220497	10556.316431366	17.742	29.032	D
176	Spectrogram 1	1	2019/2/3  9:00:50.7264	10550.726392547	10552.962408075	18.280	54.839	D
177	Spectrogram 1	1	2019/2/3  9:01:04.3661	10564.366087267	10568.987186025	34.409	92.473	D
178	Spectrogram 1	1	2019/2/3  9:01:08.0182	10568.018245963	10570.850532298	55.376	82.796	D
179	Spectrogram 1	1	2019/2/3  9:01:12.2667	10572.266675466	10574.651758696	37.634	81.183	D
180	Spectrogram 1	1	2019/2/3  9:01:14.8754	10574.875360248	10577.185909627	41.935	75.806	D
181	Spectrogram 1	1	2019/2/3  9:01:18.5275	10578.527518944	10581.285271429	29.032	68.817	D
182	Spectrogram 1	1	2019/2/3  9:01:26.8008	10586.800776398	10589.483995031	37.634	80.645	D
183	Spectrogram 1	1	2019/2/3  9:01:39.9192	10599.919184161	10602.453335093	31.183	67.742	D
184	Spectrogram 1	1	2019/2/3  9:01:48.0434	10608.043373913	10611.471931056	23.656	47.312	D
185	Spectrogram 1	1	2019/2/3  9:01:53.7825	10613.782480435	10615.422225155	16.667	34.946	D
186	Spectrogram 1	1	2019/2/3  9:01:57.2856	10617.285571429	10620.192391615	30.108	45.161	D
187	Spectrogram 1	1	2019/2/3  9:02:02.8011	10622.801076398	10625.111625776	32.258	47.849	D
188	Spectrogram 1	1	2019/2/3  9:02:40.7388	10660.738806522	10662.900288199	34.946	68.817	D
189	Spectrogram 1	1	2019/2/3  9:03:02.1300	10682.130021739	10683.695232609	50.000	66.667	D
190	Spectrogram 1	1	2019/2/3  9:03:18.9747	10698.974672050	10702.179627640	34.946	60.753	D
191	Spectrogram 1	1	2019/2/3  9:03:26.0558	10706.055837888	10709.782530435	36.559	86.022	D
192	Spectrogram 1	1	2019/2/3  9:03:52.9626	10732.962558075	10736.167513665	48.387	84.946	D
193	Spectrogram 1	1	2019/2/3  9:04:06.0060	10746.005981988	10748.540132919	35.484	67.742	D
194	Spectrogram 1	1	2019/2/3  9:04:12.3414	10752.341359317	10756.068051863	15.591	59.677	D
195	Spectrogram 1	1	2019/2/3  9:04:41.4533	10781.453285093	10784.732774534	50.538	90.860	D
196	Spectrogram 1	1	2019/2/3  9:04:49.2048	10789.204805590	10790.844550311	31.183	67.742	D
197	Spectrogram 1	1	2019/2/3  9:04:57.8507	10797.850732298	10801.130221739	37.634	91.935	D
198	Spectrogram 1	1	2019/2/3  9:05:07.0929	10807.092929814	10810.297885404	31.720	79.570	D
199	Spectrogram 1	1	2019/2/3  9:05:13.5774	10813.577374845	10815.738856522	14.516	68.280	D
200	Spectrogram 1	1	2019/2/3  9:06:07.0617	10867.061669876	10869.148617702	37.097	79.032	D
201	Spectrogram 1	1	2019/2/3  9:06:13.2480	10873.247979503	10874.738656522	29.570	69.355	D
202	Spectrogram 1	1	2019/2/3  9:05:57.2232	10857.223201553	10859.086547826	39.785	78.495	D
203	Spectrogram 1	1	2019/2/3  9:05:53.7201	10853.720110559	10857.074133851	40.860	83.871	D
204	Spectrogram 1	1	2019/2/3  9:06:25.6956	10885.695582609	10888.229733540	32.258	69.892	D
205	Spectrogram 1	1	2019/2/3  9:08:02.0683	10982.068301863	10990.937830124	17.204	28.495	Antarctic
206	Spectrogram 1	1	2019/2/3  9:08:58.7886	11038.788562422	11046.540082919	17.742	29.570	Antarctic
207	Spectrogram 1	1	2019/2/3  9:08:20.7018	11000.701764596	11003.832186335	29.570	82.796	D
208	Spectrogram 1	1	2019/2/3  9:08:33.2235	11013.223451553	11015.608534783	54.839	97.312	D
209	Spectrogram 1	1	2019/2/3  9:08:36.2048	11016.204805590	11018.738956522	37.097	75.806	D
210	Spectrogram 1	1	2019/2/3  9:08:48.5774	11028.577424845	11031.111575776	34.946	82.258	D
